Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
684	-62.99054	-77.03012	14.03958	0.0693837	0.018132	0.0362588	0.131039	0.0578031	0.0153981	0.0026465	0.0221485	0.0017367	0.0581758	0.341174	0.0297983	0.0658442	0.00440829	0.186525	0.0346047	0.0814306	0.6156014	0.4446706	0.540315	0.740647	0.910586	1.09819	1.35017	1.85077	0.4451228	0.0599942	0.0156783	0.0313519	0.113306	0.0499807	0.0133143	0.00228836	0.0191512	0.00150168	0.050303	0.295004	0.0257657	0.0569337	0.00381173	0.161283	0.0299217	0.0704108	1.13816	0.692199	0.307801	1.156508
720	-63.31017	-78.37326	15.06309	0.0158901	0.00162713	0.0322572	0.045872	0.00433645	0.00329129	0.00677028	0.00785925	0.0127558	0.022531	0.0371725	0.0175172	0.00277523	0.0114839	0.00725027	0.0122466	0.0324184	0.2556032	0.1465281	0.516409	0.72448	0.904338	1.10578	1.3803	1.93645	0.4778446	0.0579813	0.00593725	0.117704	0.167383	0.0158233	0.0120096	0.0247041	0.0286777	0.0465447	0.0822136	0.135639	0.0639187	0.0101266	0.0419038	0.0264556	0.0446865	0.118292	1.307314	0.872198	0.127802	0.2740546
756	-63.92543	-78.23701	14.31158	0.0186509	0.0231694	0.0558672	0.264813	0.0281902	0.0248405	0.0276024	0.00188027	0.049934	0.0278916	0.0855311	0.0580733	0.0160549	0.0254127	0.129562	0.215618	0.0721838	0.563414	0.3921895	0.6546	0.813301	0.937562	1.0666	1.22956	1.52765	0.3063866	0.0165746	0.02059	0.0496477	0.235332	0.0250518	0.0220751	0.0245295	0.00167094	0.044375	0.0247865	0.0760091	0.0516081	0.0142675	0.0225836	0.115138	0.191614	0.0641477	1.159917	0.718293	0.281707	1.125274
792	-64.81844	-79.80889	14.99045	0.00415252	0.0245073	0.0171353	0.00101319	0.0517827	0.0320236	0.0108423	0.00444436	0.00281328	0.0244731	0.0169402	0.0218278	0.0177064	0.00830504	0.00494002	0.0181967	0.0808426	0.2753686	0.1596681	0.44193	0.671488	0.883159	1.1323	1.48923	2.2628	0.5904607	0.0121438	0.0716701	0.050111	0.00296302	0.151435	0.093651	0.0317076	0.0129972	0.00822725	0.0715699	0.0495405	0.0638338	0.0517813	0.0242875	0.0144468	0.053215	0.236419	1.296733	0.862316	0.137684	0.3419464
828	-66.29164	-81.68325	15.39161	0.00449027	0.0132009	0.0269389	0.00897302	0.0358151	0.0306225	0.00563393	0.0358806	0.00762222	0.120891	0.0572968	0.0380285	0.100983	0.00381439	0.0100192	0.039242	0.0861914	0.3278586	0.1960711	0.859379	0.928756	0.977206	1.02333	1.07671	1.16363	0.1095773	0.00717704	0.0210997	0.0430578	0.0143421	0.0572452	0.0489456	0.00900501	0.05735	0.012183	0.193227	0.0915805	0.0607829	0.161406	0.00609674	0.0160142	0.0627227	0.137764	1.269447	0.836071	0.163929	0.6256438
864	-60.30936	-75.61451	15.30515	0.0114404	0.0176025	0.013618	0.113841	0.0217266	0.0262539	0.00279058	0.00946622	0.00310982	0.00993136	0.089175	0.0726326	0.0165974	0.00592146	0.152374	0.00515435	0.0675524	0.1627323	0.088573	0.446881	0.675146	0.884658	1.13038	1.48116	2.23773	0.5824053	0.0178984	0.0275389	0.0213052	0.178103	0.033991	0.0410739	0.00436582	0.0148098	0.00486527	0.0155375	0.139513	0.113633	0.0259664	0.00926404	0.238387	0.00806391	0.105685	1.359435	0.918634	0.0813662	0.6391877
900	-60.98203	-76.26818	15.28615	0.00160211	0.00817569	0.027546	0.0595026	0.0515574	0.014293	0.004922	0.0114808	0.0335836	0.00586239	0.0173955	0.0213479	0.0259608	0.0060246	0.142741	0.0509519	0.118558	0.3635997	0.2221949	0.81504	0.905069	0.969361	1.03161	1.10489	1.22693	0.1478806	0.00266351	0.0135921	0.0457951	0.0989228	0.085714	0.0237621	0.0081828	0.0190868	0.0558326	0.0097462	0.02892	0.0354908	0.0431597	0.0100159	0.237307	0.0847073	0.197102	1.251515	0.8182	0.1818	0.6015053
936	-70.55172	-84.18924	13.63752	0.0491795	0.042153	0.0205961	0.177955	0.0104056	0.0609307	0.00335234	0.0309309	0.00741617	0.124402	0.0778614	0.0821579	0.170655	0.0292541	0.0110329	0.0953047	0.0226335	0.9246756	0.8599038	0.560809	0.754217	0.915759	1.09199	1.32588	1.78314	0.4182049	0.0483945	0.0414801	0.0202673	0.175115	0.0102395	0.0599581	0.00329883	0.0304372	0.00729779	0.122417	0.0766186	0.0808465	0.167931	0.0287871	0.0108568	0.0937834	0.0222722	1.024366	0.537662	0.462338	1.016221
972	-69.60221	-82.3468	12.74459	0.00090853	0.00765331	0.0127814	0.0382027	0.0074352	0.0014356	0.00337465	0.000409148	0.00366192	0.0256765	0.0120462	0.00660273	0.00255912	0.00733039	0.00326624	0.0103172	0.0236621	0.8337547	0.7149051	0.148616	0.394652	0.748215	1.33651	2.53388	6.72874	1.37845	0.0054298	0.0457397	0.0763879	0.228317	0.0444362	0.00857982	0.0201685	0.00244526	0.0218853	0.153455	0.0719938	0.039461	0.0152945	0.0438098	0.0195206	0.0616606	0.141416	1.055407	0.583123	0.416877	0.167323
1008	-61.27002	-76.44604	15.17601	0.000527531	0.0230413	0.0442559	0.0696419	0.0121977	0.0206854	0.0213555	0.0148235	0.00222388	0.0634668	0.133106	0.0268205	0.0293661	0.0202058	0.00893379	0.0198523	0.0183314	0.1355281	0.07268981	0.32364	0.576841	0.842275	1.18726	1.73358	3.08985	0.8157111	0.000997535	0.0435699	0.0836857	0.131689	0.0230653	0.039115	0.0403821	0.0280304	0.00420525	0.120013	0.251696	0.0507161	0.0555299	0.0382081	0.0168933	0.0375396	0.0346637	1.375499	0.932236	0.0677641	0.5288349
1044	-69.22505	-82.65656	13.43151	0.0559369	0.00295451	0.0977906	0.0336977	0.0574424	0.0557838	0.0173392	0.00691305	0.00452627	0.0208475	0.0356785	0.0586161	0.0577711	0.169571	0.0958138	0.0720725	0.0884642	0.7822843	0.6424195	0.258997	0.517443	0.814199	1.2282	1.93258	3.86105	0.9768215	0.0600685	0.00317273	0.105014	0.0361866	0.0616852	0.0599041	0.0186199	0.00742365	0.00486058	0.0223873	0.0383138	0.0629455	0.0620381	0.182096	0.102891	0.0773959	0.0949983	1.073828	0.608858	0.391142	0.9312189
1080	-67.42422	-81.46941	14.04519	0.00123117	0.014816	0.024443	0.00221493	0.0392566	0.00681072	0.00378679	0.00644081	0.00375512	0.127027	0.031054	0.0654659	0.117214	0.00705856	0.0435786	0.0370815	0.00449514	0.732458	0.577857	0.382946	0.626174	0.864117	1.15725	1.597	2.61133	0.6940458	0.00229812	0.0276558	0.0456256	0.00413441	0.0732769	0.012713	0.00706848	0.0120225	0.00700936	0.23711	0.0579658	0.1222	0.218792	0.0131756	0.0813445	0.0692169	0.0083907	1.092284	0.633771	0.366229	0.5357296
1116	-70.86406	-84.46741	13.60335	0.0123141	0.0273046	0.158041	0.0726883	0.0883416	0.0663921	0.086005	0.0110523	0.0539439	0.0983208	0.00898538	0.0462481	0.176876	0.0230106	0.132269	0.0597297	0.0418966	0.948916	0.9027975	0.711506	0.847046	0.949529	1.05315	1.18057	1.40547	0.2461116	0.0105844	0.0234692	0.135842	0.0624782	0.0759327	0.0570663	0.0739243	0.00949984	0.0463666	0.0845102	0.00772325	0.0397519	0.152031	0.0197784	0.11369	0.0513398	0.0360116	1.016396	0.525542	0.474458	1.16342
1152	-66.115	-78.37763	12.26263	0.00240966	0.000748733	0.00373326	0.00920824	0.00087469	0.00470584	0.00176453	0.000834037	0.00308921	0.0116606	0.000180403	0.00228717	0.00504776	0.00141414	0.00238983	0.00186414	0.0270123	0.2962781	0.1739005	0.0396284	0.207131	0.6119	1.63425	4.82787	25.2344	2.334218	0.0304156	0.00945076	0.0471225	0.11623	0.0110406	0.0593987	0.0222726	0.0105275	0.038993	0.147184	0.00227711	0.0288695	0.0637145	0.0178497	0.0301653	0.0235298	0.340959	1.285724	0.851861	0.148139	0.07922455
1188	-68.10335	-82.61777	14.51442	0.0318636	0.102634	0.0344788	0.111406	0.0597052	0.0693302	0.0775026	0.100186	0.0440741	0.0562937	0.0132795	0.111848	0.154104	0.0166504	0.047679	0.160388	0.51897	0.02429283	0.01229577	0.496919	0.711014	0.89906	1.11227	1.40644	2.0124	0.5056619	0.0186294	0.0600059	0.0201584	0.0651346	0.0349073	0.0405347	0.0453128	0.0585746	0.0257684	0.0329128	0.00776399	0.0653934	0.0900984	0.00973483	0.027876	0.0937726	0.303422	1.445333	0.987854	0.0121464	1.710392
1224	-65.56672	-80.79959	15.23287	0.0124435	0.0534126	0.14966	0.0519507	0.0645633	0.0303087	0.0132176	0.027546	0.010342	0.0594935	0.122442	0.186269	0.00353569	0.0801779	0.129784	0.0320255	0.0269912	0.06691884	0.03461771	0.445354	0.67402	0.884197	1.13097	1.48364	2.2454	0.5848794	0.0118041	0.0506682	0.141971	0.0492815	0.061246	0.0287514	0.0125385	0.0261306	0.00981059	0.0564367	0.116151	0.176698	0.00335403	0.0760583	0.123116	0.03038	0.0256044	1.41775	0.966541	0.0334594	1.054164
1260	-63.95482	-79.20611	15.25129	0.00111944	0.00876049	0.0250267	0.215286	0.00219086	0.00691854	0.0388984	0.126373	0.00663771	0.0501692	0.107749	0.0723935	0.00834724	0.0315238	0.0345986	0.179655	0.0438842	0.2078714	0.1159914	0.672876	0.824297	0.941498	1.06214	1.21316	1.48616	0.2864753	0.00116666	0.00912998	0.0260822	0.224366	0.00228326	0.00721034	0.0405389	0.131703	0.00691766	0.0522851	0.112293	0.0754468	0.00869929	0.0328534	0.0360578	0.187232	0.045735	1.333593	0.896064	0.103936	0.959531
1296	-64.06943	-78.73457	14.66514	0.00953663	0.00538891	0.107593	0.0321315	0.00686262	0.0160166	0.015299	0.00855708	0.0145206	0.0227616	0.001745	0.0207739	0.0148804	0.241186	0.0209094	0.0359884	0.0362707	0.520312	0.3516363	0.534448	0.736714	0.909075	1.10002	1.35738	1.87109	0.4530172	0.015623	0.00882818	0.17626	0.0526381	0.0112424	0.0262385	0.0250631	0.0140183	0.0237878	0.0372883	0.00285869	0.0340321	0.0243772	0.395114	0.0342539	0.0589566	0.0594191	1.178523	0.739844	0.260156	0.6104217
1332	-68.48163	-81.28657	12.80494	0.00190968	0.0173494	0.0142675	0.00853466	0.00580139	0.0168347	0.00645506	0.0176592	0.00671757	0.0196759	0.00286964	0.0260202	0.00990295	0.014439	0.00776483	0.0210291	0.0159282	1.201213	1.503795	0.370356	0.616048	0.859733	1.16315	1.62325	2.7001	0.7182171	0.00895896	0.0813916	0.0669337	0.0400389	0.0272163	0.0789774	0.0302829	0.082845	0.0315144	0.0923063	0.0134624	0.122069	0.046458	0.0677382	0.0364274	0.0986544	0.0747247	0.9402554	0.399394	0.600606	0.2131589
1368	-68.06426	-82.82414	14.75988	0.00865314	0.021024	0.0457939	0.0454997	0.030202	0.00444458	0.0147224	0.0255021	0.0350898	0.0887964	0.0773117	0.0756852	0.0879465	0.103652	0.00870719	0.0378633	0.0519098	0.6478656	0.4791429	0.951653	0.976122	0.992488	1.00757	1.02446	1.0508	0.03583129	0.0113439	0.0275614	0.0600336	0.059648	0.0395934	0.00582664	0.0193004	0.033432	0.0460011	0.116408	0.101352	0.0992197	0.115294	0.135883	0.0114147	0.049637	0.0680513	1.125113	0.676067	0.323933	0.7628037
1404	-65.26598	-80.12044	14.85447	0.0966541	0.00149595	0.012802	0.0621887	0.106702	0.00691402	0.0140756	0.0603651	0.029464	0.0892263	0.00436856	0.0130447	0.0203293	0.0690243	0.185094	0.157084	0.199588	0.2442185	0.1390939	0.559642	0.753451	0.915469	1.09234	1.32723	1.78686	0.4197111	0.0856543	0.00132571	0.0113451	0.0551113	0.0945585	0.00612717	0.0124737	0.0534952	0.0261108	0.0790719	0.00387139	0.0115602	0.0180157	0.0611689	0.16403	0.139207	0.176874	1.313487	0.877891	0.122109	1.12842
1440	-63.05343	-78.781	15.72757	0.0666192	0.00700877	0.00415241	0.0750811	0.0360565	0.00924558	0.0623784	0.0850842	0.0209678	0.102171	0.0295793	0.025453	0.184009	0.123142	0.128755	0.0395579	0.121817	0.04112145	0.02099234	0.91247	0.95631	0.986159	1.01403	1.04569	1.09593	0.06623284	0.0594242	0.00625182	0.00370394	0.0669723	0.0321623	0.00824704	0.0556414	0.075895	0.0187033	0.0911363	0.0263847	0.0227041	0.164135	0.109843	0.114849	0.0352856	0.108661	1.434316	0.979439	0.0205607	1.121078
1476	-62.68901	-77.9706	15.28159	0.0297958	0.00390512	0.00755771	0.0850976	0.0615216	0.00263217	0.0251342	0.0105788	0.0481954	0.0560322	0.00833692	0.0154168	0.120122	0.0231937	0.0275907	0.0636042	0.0325909	0.3995143	0.2496207	0.906581	0.953295	0.985188	1.01503	1.04899	1.10304	0.07091454	0.0479567	0.00628534	0.0121642	0.136966	0.0990197	0.00423652	0.0404538	0.0170268	0.0775711	0.0901846	0.0134184	0.0248135	0.193338	0.0373306	0.0444075	0.102372	0.0524554	1.234	0.800243	0.199757	0.6213061
1512	-60.63751	-75.12884	14.49133	0.0154837	0.00560895	0.025648	0.0309667	0.021501	0.0391227	0.00154361	0.00761439	0.0146419	0.0888434	0.0207039	0.113182	0.215422	0.0879319	0.00767465	0.00431524	0.0629521	0.5939028	0.4223767	0.571097	0.760933	0.918295	1.08897	1.31418	1.75102	0.4050609	0.020289	0.00734967	0.0336078	0.0405771	0.0281738	0.0512644	0.00202266	0.00997749	0.019186	0.116416	0.0271293	0.148308	0.282278	0.115221	0.0100565	0.00565447	0.0824891	1.147106	0.703049	0.296951	0.7631567
1548	-70.26981	-85.27203	15.00221	0.00559993	0.0428889	0.0167885	0.0187901	0.0340008	0.00181133	0.0188852	0.0287651	0.00866591	0.127767	0.126467	0.0258699	0.0334548	0.00695096	0.055432	0.0545965	0.00491374	0.3554579	0.216144	0.540119	0.740516	0.910536	1.09825	1.35041	1.85144	0.445385	0.00915548	0.0701203	0.0274481	0.0307205	0.0555888	0.0029614	0.030876	0.0470288	0.0141681	0.20889	0.206764	0.0422954	0.0546963	0.0113643	0.0906274	0.0892613	0.00803361	1.255555	0.822271	0.177729	0.6116474
1584	-58.51516	-73.45285	14.93769	0.0107455	0.00883848	0.0338297	0.0895506	0.0670607	0.0167857	0.00977334	0.00150727	0.00402907	0.125046	0.000591054	0.0172261	0.0641323	0.350986	0.0794736	0.10117	0.0339506	0.4187696	0.2648378	0.895918	0.94781	0.983416	1.01686	1.05506	1.11617	0.07947004	0.0105899	0.00871048	0.0333397	0.0882536	0.0660894	0.0165426	0.0096318	0.00148544	0.00397072	0.123235	0.000582494	0.0169766	0.0632035	0.345903	0.0783226	0.0997044	0.0334589	1.224809	0.790615	0.209385	1.014696
