Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
0	-64.03232	-78.66351	14.63119	0.00616596	0.00401629	0.000413284	0.0800467	0.0751292	0.0292534	0.0648515	0.0329851	0.00398689	0.097247	0.023249	0.0602771	0.00268393	0.0287374	0.0661775	0.0440787	0.191637	0.570876	0.3994587	0.684826	0.831404	0.944024	1.0593	1.20278	1.46022	0.2737466	0.00760351	0.00495266	0.000509638	0.0987091	0.0926451	0.0360736	0.0799711	0.0406753	0.00491641	0.11992	0.0286693	0.0743303	0.00330967	0.0354373	0.0816063	0.0543553	0.236316	1.156755	0.714562	0.285438	0.8109359
36	-61.97024	-77.8038	15.83356	0.0013686	0.0138047	0.00409648	0.0604394	0.0685437	0.0225691	0.00507429	0.0213145	0.00509884	0.0139661	0.0162588	0.0344664	0.0388436	0.147932	0.0222144	0.0498421	0.0170675	0.06770385	0.03503803	0.623827	0.794424	0.930718	1.07444	1.25877	1.60301	0.3412035	0.0025209	0.0254276	0.00754555	0.111327	0.126255	0.0415713	0.00934663	0.0392604	0.00939184	0.025725	0.0299481	0.0634857	0.0715482	0.272485	0.040918	0.0918071	0.0314376	1.417252	0.966148	0.0338519	0.5429005
72	-60.47187	-75.45956	14.98769	0.00476187	0.00622029	0.00485083	0.0897254	0.0798505	0.00731927	0.000488057	0.0178207	0.0167635	0.0668682	0.0272075	0.00769258	0.0114137	0.185354	0.0513182	0.0656572	0.000263865	0.5813835	0.4098243	0.998621	0.999327	0.99979	1.00021	1.00067	1.00138	0.000997995	0.00739908	0.00966519	0.0075373	0.139417	0.124073	0.0113728	0.000758352	0.0276902	0.0260474	0.103901	0.0422755	0.0119529	0.0177348	0.288007	0.0797391	0.102019	0.000409999	1.152332	0.709308	0.290692	0.6435762
108	-67.13146	-81.19855	14.06709	0.00432794	0.00868008	0.00161226	0.0165527	0.00593042	0.011972	0.000396859	0.0204217	0.0508785	0.0647219	0.0182063	0.0374804	0.0288358	0.155147	0.0148646	0.00881523	0.0036695	0.5238602	0.3548852	0.230616	0.488967	0.799947	1.25008	2.04513	4.33621	1.060742	0.00956424	0.019182	0.0035629	0.0365795	0.0131055	0.0264567	0.000877011	0.0451296	0.112436	0.143028	0.0402338	0.0828273	0.0637238	0.342856	0.0328491	0.0194806	0.00810915	1.176969	0.73807	0.26193	0.4525129
144	-67.35395	-81.4594	14.10545	0.011128	0.0164877	0.00937283	0.0210563	0.013787	0.00742099	0.0295729	0.020612	0.0185137	0.0109676	0.0245715	0.019037	0.00848542	0.124761	0.0265568	0.0185639	0.035487	0.6837585	0.519478	0.374105	0.619081	0.861052	1.16137	1.6153	2.67305	0.7109352	0.0267256	0.0395977	0.0225102	0.0505698	0.0331115	0.0178226	0.0710236	0.0495028	0.0444633	0.0263403	0.0590121	0.0457201	0.020379	0.29963	0.06378	0.0445839	0.0852271	1.110945	0.658121	0.341879	0.4163813
180	-60.09668	-76.15591	16.05922	0.0116861	0.00363869	0.0116623	0.104604	0.0403617	0.000673146	0.00997873	0.000418798	0.00511036	0.0240456	0.014379	0.00226365	0.0287367	0.0552052	0.00697311	0.0957495	0.0212995	0.06004679	0.0309527	0.837219	0.916998	0.973329	1.0274	1.09051	1.19443	0.1284673	0.0267547	0.0083306	0.0267003	0.239486	0.0924061	0.00154113	0.0228458	0.000958816	0.0116999	0.0550511	0.0329201	0.00518252	0.0657912	0.12639	0.0159646	0.219214	0.0487641	1.422126	0.969977	0.0300234	0.4367863
216	-68.7429	-83.88396	15.14106	0.124673	0.0246162	0.0219947	0.0649159	0.0139392	0.0293669	0.111066	0.00173305	0.0443263	0.207974	0.0257565	0.0101029	0.136673	0.0621379	0.0112985	0.00353625	0.0739344	0.01916842	0.009676954	0.347883	0.597524	0.851583	1.17428	1.67357	2.87453	0.7634812	0.128788	0.0254288	0.0227208	0.0670588	0.0143993	0.0303363	0.114732	0.00179026	0.0457896	0.21484	0.0266067	0.0104364	0.141184	0.0641891	0.0116715	0.00365298	0.076375	1.448722	0.990416	0.00958421	0.9680442
252	-63.15509	-78.04649	14.8914	0.0434985	0.0062178	0.0047106	0.0915424	0.0181497	0.00585399	0.00835865	0.008924	0.0145076	0.0353562	0.00232721	0.0416324	0.0820521	0.025655	0.0176645	0.148769	0.141619	0.4786961	0.3146617	0.691387	0.835279	0.945394	1.05776	1.1972	1.44637	0.2668528	0.0624226	0.00892286	0.00675996	0.131368	0.0260457	0.00840078	0.0119951	0.0128064	0.0208192	0.0507379	0.00333967	0.0597447	0.117749	0.0368163	0.0253495	0.213491	0.203231	1.197063	0.760652	0.239348	0.6968389
288	-63.75292	-79.34937	15.59645	0.0356114	0.147246	0.011541	0.134686	0.0335405	0.00431673	0.0367738	0.00643637	0.00671229	0.0758678	0.00460885	0.0310648	0.0939021	0.0603036	0.0351866	0.105365	0.0162755	0.07190712	0.03729443	0.566872	0.758183	0.917258	1.09021	1.31894	1.76407	0.4104294	0.0424229	0.17541	0.0137485	0.160448	0.0399559	0.0051424	0.0438076	0.00766747	0.00799617	0.0903793	0.0054904	0.0370067	0.111863	0.0718381	0.0419168	0.125518	0.0193885	1.414591	0.964046	0.0359536	0.8394382
324	-59.58673	-75.50636	15.91963	0.0107939	0.00984777	0.0236892	0.0284399	0.0616793	0.0121499	0.0183131	0.0143535	0.00751678	0.0743185	0.071339	0.0156256	0.00880562	0.00824894	0.0139411	0.0254652	0.0190413	0.06528044	0.03374155	0.706203	0.843961	0.948449	1.05435	1.18489	1.41602	0.2515217	0.0254831	0.0232495	0.0559277	0.0671435	0.145618	0.0286846	0.0432352	0.0338871	0.0177463	0.175458	0.168424	0.0368905	0.0207891	0.0194749	0.0329134	0.0601207	0.0449544	1.418791	0.96736	0.0326402	0.4235685
360	-63.79016	-78.24216	14.452	0.0391975	0.093825	0.0912941	0.107654	0.114051	0.041917	0.0397464	0.0061055	0.0132807	0.0188936	0.135346	0.00905173	0.239798	0.445075	0.0830631	0.0227837	0.163964	0.2827368	0.1646438	0.934569	0.967536	0.989757	1.01035	1.03355	1.07001	0.04893025	0.0235414	0.0563498	0.0548297	0.0646551	0.0684973	0.0251747	0.0238711	0.00366686	0.00797617	0.0113472	0.0812869	0.00543632	0.144019	0.267305	0.0498863	0.0136835	0.0984739	1.292832	0.858632	0.141368	1.665047
396	-62.59385	-77.93487	15.34101	0.0244411	0.0414395	0.0106722	0.0377716	0.0347199	0.00192433	0.0184776	0.0085019	0.00122051	0.03934	0.021508	0.000931935	0.0404088	0.104197	0.0647998	0.00141563	0.0297961	0.4029031	0.2522721	0.960319	0.980447	0.993858	1.00618	1.01994	1.04132	0.02927697	0.0507534	0.0860516	0.0221614	0.078435	0.0720978	0.00399599	0.0383699	0.0176547	0.00253445	0.0816918	0.0446625	0.00193522	0.0839112	0.216371	0.134561	0.00293965	0.0618733	1.232372	0.798548	0.201452	0.481566
432	-63.6888	-77.87287	14.18407	0.0301648	0.0486904	0.053148	0.125487	0.0376936	0.0205514	0.0226591	0.00654006	0.00106874	0.0777691	0.0503566	0.0254542	0.0589729	0.143748	0.0143404	0.0131041	0.0596404	0.9111276	0.8367625	0.872174	0.935475	0.979406	1.02103	1.06898	1.14656	0.09889114	0.0382129	0.0616811	0.067328	0.158968	0.0477503	0.0260345	0.0287046	0.00828497	0.00135388	0.0985181	0.0637918	0.0322455	0.074707	0.1821	0.0181665	0.0166002	0.0755526	1.028875	0.544436	0.455564	0.789389
468	-66.93847	-81.17522	14.23675	0.0111443	0.0230934	0.0602754	0.0138492	0.0314783	0.0205678	0.0362874	0.00366855	0.0422529	0.0223856	0.0705567	0.0383802	0.0590574	0.126421	0.00264319	0.00992395	0.0249258	0.9275009	0.8648035	0.847029	0.922223	0.975056	1.02558	1.08434	1.1806	0.1200438	0.01867	0.0386881	0.100979	0.0232014	0.0527353	0.0344571	0.060792	0.00614588	0.0707859	0.0375024	0.118203	0.0642979	0.0989384	0.211792	0.00442812	0.0166255	0.041758	1.023431	0.53625	0.46375	0.5969114
504	-61.30074	-76.67333	15.37259	0.00291564	0.0318897	0.105169	0.102134	0.00733188	0.0385705	0.00300406	0.00559685	0.0156956	0.205052	0.00956802	0.018642	0.176563	0.0655796	0.139707	0.0661115	0.268067	0.09019449	0.04722705	0.814423	0.904735	0.969249	1.03173	1.1053	1.22786	0.148428	0.00231107	0.0252773	0.0833616	0.0809564	0.00581158	0.0305728	0.00238115	0.00443632	0.012441	0.162534	0.00758405	0.0147765	0.139952	0.0519814	0.110739	0.052403	0.212482	1.403129	0.954903	0.0450972	1.261597
540	-65.96174	-80.63861	14.67687	0.0424292	0.00202581	0.0280195	0.149345	0.00653491	0.02752	0.0218262	0.0198305	0.00198879	0.0822193	0.115004	0.0305772	0.0437303	0.100037	0.0770008	0.173681	0.00896244	0.2341495	0.1325987	0.319937	0.573612	0.840801	1.18934	1.74334	3.12562	0.8240321	0.045587	0.00217658	0.0301048	0.16046	0.00702126	0.0295681	0.0234506	0.0213064	0.00213681	0.0883385	0.123563	0.0328528	0.0469849	0.107482	0.0827315	0.186607	0.00962947	1.318996	0.882925	0.117075	0.9307309
576	-61.16784	-76.99837	15.83053	0.00756827	0.059722	0.0389819	0.0361194	0.0119136	0.00707472	0.0178981	0.00073605	0.00351506	0.0624866	0.0614112	0.0564354	0.0119322	0.0631224	0.0625855	0.0553216	0.108373	0.1084786	0.05734994	0.766226	0.878215	0.960295	1.04135	1.13867	1.3051	0.192537	0.0113775	0.0897809	0.058602	0.0542988	0.0179099	0.0106355	0.0269065	0.00110651	0.00528424	0.0939369	0.0923203	0.0848401	0.0179378	0.0948928	0.0940856	0.0831658	0.162919	1.391852	0.945761	0.0542393	0.665197
612	-64.54726	-78.35515	13.80789	0.0281725	0.0406523	0.015323	0.0794739	0.017819	0.0176526	0.00976376	0.00123545	0.00183663	0.0221697	0.0245004	0.00226276	0.0433863	0.0447807	0.12828	0.0135639	0.0202406	0.6478113	0.4790836	0.221197	0.479123	0.794887	1.25804	2.08715	4.52087	1.090897	0.0551198	0.0795368	0.0299797	0.155492	0.0348631	0.0345376	0.0191029	0.00241718	0.00359339	0.0433754	0.0479353	0.00442711	0.0848859	0.0876141	0.250981	0.0265379	0.039601	1.125135	0.676094	0.323906	0.5111131
648	-65.23608	-79.45752	14.22144	0.0211987	0.128596	0.0649513	0.110918	0.0365215	0.00442425	0.0130296	0.0162483	0.0103761	0.143608	0.016394	0.0871552	0.0345449	0.187663	0.0981955	0.0023533	0.0623454	0.7271836	0.5713186	0.775399	0.883326	0.962035	1.03946	1.13208	1.28966	0.1839329	0.0204124	0.123826	0.062542	0.106804	0.0351668	0.00426014	0.0125462	0.0156456	0.00999118	0.138281	0.0157858	0.0839223	0.0332635	0.180702	0.094553	0.002266	0.0600327	1.094275	0.636408	0.363592	1.038523
