Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
0	-62.12913	-77.77844	15.64931	0.0340365	0.0631241	0.125708	0.0369506	0.0498787	0.029265	0.00303781	0.0104936	0.00910899	0.0299701	0.0822961	0.196945	0.0866435	0.0111526	0.00445659	0.0380682	0.251821	0.1085504	0.05739004	0.937368	0.968948	0.990207	1.00989	1.03205	1.06682	0.04676782	0.0320206	0.0593854	0.118263	0.034762	0.0469245	0.0275317	0.00285788	0.00987206	0.00856948	0.028195	0.0774219	0.18528	0.0815118	0.0104921	0.00419263	0.0358135	0.236906	1.391809	0.945725	0.0542752	1.062957
36	-63.94001	-78.82558	14.88557	0.00589432	0.0354538	0.032244	0.0473329	0.0165405	0.0346272	0.00560794	0.0385172	0.0583804	0.0523578	0.0200884	0.226629	0.0412205	0.135196	0.101641	0.0404313	0.0296498	0.4371657	0.2797262	0.77484	0.883016	0.961929	1.03958	1.13248	1.29059	0.1844539	0.00639428	0.038461	0.0349789	0.0513477	0.0179435	0.0375643	0.0060836	0.0417843	0.0633322	0.0567988	0.0217923	0.245852	0.0447168	0.146663	0.110262	0.0438607	0.0321647	1.216156	0.781417	0.218583	0.9218116
72	-66.87202	-82.69587	15.82385	0.0200348	0.00902952	0.029534	0.117477	0.0561015	0.0533355	0.0116558	0.00544366	0.00378251	0.0721319	0.0554665	0.0798247	0.0060741	0.0356571	0.00813785	0.00581458	0.0462506	0.101743	0.0535981	0.717936	0.850771	0.95083	1.05171	1.1754	1.39288	0.239607	0.0325372	0.0146642	0.0479641	0.190787	0.0911106	0.0866185	0.0189293	0.00884068	0.00614292	0.117144	0.0900793	0.129638	0.00986453	0.0579082	0.0132161	0.00944306	0.0751124	1.395985	0.949129	0.0508715	0.6157516
108	-64.30837	-78.54713	14.23876	0.0217977	0.0274767	0.0658537	0.0926571	0.0134622	0.00476087	0.00418395	0.0356627	0.00600093	0.0377693	0.00648066	0.0036398	0.0211086	0.118168	0.0809346	0.0467642	0.0442641	0.9220167	0.8553164	0.851763	0.924733	0.975883	1.02471	1.08139	1.17404	0.1160146	0.0345454	0.0435457	0.104366	0.146845	0.0213352	0.00754513	0.00663082	0.0565191	0.00951041	0.0598577	0.0102707	0.00576844	0.0334534	0.187276	0.128267	0.074113	0.0701507	1.025248	0.538992	0.461008	0.6309855
144	-59.933	-76.03379	16.10079	0.00986393	0.0210659	0.0171601	0.0193622	0.0250909	0.0092362	0.0123887	0.00343479	0.0145511	0.055403	0.0203706	0.163124	0.0598744	0.0852462	0.0128752	0.00250981	0.0212264	0.08038454	0.04187534	0.947014	0.973798	0.991751	1.00832	1.02691	1.05595	0.039365	0.0178441	0.0381088	0.0310431	0.0350267	0.0453902	0.0167085	0.0224116	0.00621364	0.0263234	0.100226	0.036851	0.295095	0.108314	0.154213	0.0232917	0.00454032	0.0383992	1.409254	0.959808	0.0401923	0.5527833
180	-63.86875	-79.30418	15.43543	0.0274983	0.0471077	0.0395725	0.156844	0.053428	0.0146347	0.0123245	0.0568864	0.0272943	0.233076	0.0553302	0.00730866	0.0349347	0.0627989	0.021922	0.0168125	0.19893	0.04153888	0.02120996	0.561716	0.754812	0.915984	1.09172	1.32483	1.78026	0.4170362	0.0257788	0.044162	0.0370979	0.147036	0.050087	0.0137196	0.0115538	0.0533291	0.0255875	0.218502	0.0518703	0.00685163	0.0327502	0.0588719	0.0205511	0.0157612	0.186491	1.434045	0.979231	0.0207694	1.066704
216	-59.40479	-75.26017	15.85538	0.0116186	0.0338996	0.0212733	0.0648942	0.0524546	0.000649318	0.00334843	0.0153969	0.00504474	0.0536187	0.00725529	0.0403725	0.0445149	0.0684904	0.115612	0.0222975	0.0188718	0.1169267	0.06209353	0.782143	0.887065	0.963303	1.03809	1.12731	1.27854	0.1776706	0.0200455	0.0584866	0.0367026	0.111961	0.0904994	0.00112026	0.00577701	0.0265641	0.00870363	0.0925078	0.0125175	0.0696542	0.076801	0.118166	0.199465	0.0384696	0.0325592	1.386703	0.941537	0.0584633	0.5796132
252	-63.27145	-78.61081	15.33936	0.0679765	0.0102169	0.0256004	0.0856933	0.012297	0.00830577	0.0295382	0.0394241	0.0259475	0.00702083	0.0335207	0.0215842	0.0344084	0.0705895	0.127761	0.0418324	0.0680326	0.02110974	0.01066747	0.337327	0.588612	0.8476	1.1798	1.69891	2.96448	0.7857606	0.0957753	0.014395	0.0360697	0.120737	0.0173258	0.0117024	0.0416178	0.0555465	0.0365587	0.00989199	0.0472289	0.0304111	0.0484796	0.0994569	0.180009	0.0589396	0.0958544	1.447436	0.989445	0.0105549	0.7097497
288	-60.42052	-75.94377	15.52325	0.0121726	0.00457037	0.0263974	0.0846446	0.0656483	0.024236	0.000689441	0.0165889	0.0334835	0.0522202	0.044475	0.0282456	0.035674	0.0245589	0.00686602	0.099754	0.0464968	0.285615	0.1665991	0.897372	0.94856	0.983659	1.01661	1.05423	1.11436	0.07829718	0.020063	0.0075329	0.0435082	0.139511	0.108202	0.0399458	0.00113634	0.0273418	0.0551876	0.0860695	0.0733038	0.0465544	0.0587979	0.0404781	0.0113166	0.164415	0.0766361	1.291314	0.857193	0.142807	0.6067215
324	-69.19915	-82.94733	13.74818	0.0116033	0.0193525	0.11569	0.0206265	0.0637334	0.0376509	0.0161761	0.0168394	0.0394902	0.0609964	0.0466712	0.0845286	0.181912	0.0385109	0.0555858	0.199314	0.0100811	0.6503616	0.4818784	0.321589	0.575055	0.841461	1.18841	1.73896	3.10956	0.8203075	0.0113896	0.0189961	0.113559	0.0202466	0.0625596	0.0369575	0.0158782	0.0165293	0.0387628	0.0598729	0.0458117	0.0829718	0.178562	0.0378016	0.0545621	0.195643	0.00989538	1.124116	0.674819	0.325181	1.018763
